//top street
15,14
14,13
13,12
12,11,
11,10
10,9
9,8
8,7
7,6
6,5
5,4
4,3
3,2
2,1
1,0
0,16
16,17
17,18
18,19
19,20
20,21
21,22
22,23
23,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,15
//bottom street
71,70
70,69
69,68
68,67
67,66
66,65
65,64
64,63
63,62
62,61
61,60
60,59
59,58
58,57
57,56
56,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
85,86
86,87
87,71
//left street
32,36
36,40
40,44
44,48
48,52
53,49
49,45
45,41
41,37
37,33
//right street
34,38
38,42
42,46
46,50
50,54
55,51
51,47
47,43
43,39
39,35
//connectors
16,32
33,17
52,56
57,53
71,55
54,70
35,31
30,34
17,1
73,57
70,86
14,30
