0,4,12
4,6,12
6,7,12
7,10,12
10,15,6
15,20,12
15,14,12
14,13,6
13,12,6
12,17,6
17,18,6
18,19,6
19,20,6
20,21,12
20,22,12
22,24,6
24,25,6
25,23,6
23,21,6
21,16,12
16,11,12
16,15,12
11,8,6
8,9,12
9,5,12
5,3,12
3,2,12
2,1,12
1,0,12
//end of key loop
1,55,12
55,49,6
49,40,6
40,29,12
29,28,12
28,39,12
28,27,12
27,26,6
26,37,6
37,38,6
38,39,6
39,40,12
39,48,12
48,54,6
54,0,6
40,41,12
41,42,3
42,43,3
43,44,3
44,50,3
50,56,3
56,60,3
60,64,3
64,69,6
69,70,6
69,74,6
74,78,4
78,82,4
82,86,4
86,90,4
90,91,4
91,87,4
87,83,4
83,79,4
79,75,4
75,70,4
70,65,6
65,61,6
65,64,6
61,57,3
57,51,3
51,45,3
45,34,3
34,33,3
33,32,3
32,31,3
31,30,3
30,29,3
70,71,6
71,72,6
72,73,6
72,76,6
76,80,4
80,84,4
84,88,4
88,92,4
92,93,4
93,89,4
89,85,4
85,81,4
81,77,4
77,73,4
73,68,6
68,67,6
68,63,6
63,59,4
59,53,4
53,47,4
47,36,4
36,35,4
35,46,4
46,52,4
52,58,4
58,62,4
62,67,4
67,72,6
67,66,6
66,65,6
//end of highway loop
86,95,4
95,94,6
94,23,6
25,96,6
96,97,6
97,90,6
//end of lower connector
